itemId,itemName,itemKind,itemTypeKey,itemType,craftType,craftLevel,equipLevel,recipeBook,slot,slotGridType,slotGridCols,groupKind,groupId,groupName,itemsCount,crystalByAlchemy,materialsJson,slotGridJson,jobsJson,equipableType
武器鍛冶_バトルアックス,バトルアックス,武器,,オノ,武器鍛冶,13.0,21.0,バトルアックス作成術,オノ,オノ,2.0,weapon_single,武器鍛冶_バトルアックス,バトルアックス,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""どうのこうせき"", ""qty"": 1}]","[[""30-40"",""50-55""],[""26-40"",""30-40""],[""50-55"",""""],[""26-40"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_カルサドラアックス,カルサドラアックス,武器,,オノ,武器鍛冶,16.0,28.0,カルサドラアックスの書,オノ,3x2,2.0,weapon_single,武器鍛冶_カルサドラアックス,カルサドラアックス,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""ようがんのカケラ"", ""qty"": 1}, {""name"": ""グリーンアイ"", ""qty"": 1}]","[[""50-60"",""32-40""],[""70-76"",""40-52""],[""32-46"",""""],[""48-60"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_たつじんのオノ,たつじんのオノ,武器,,オノ,武器鍛冶,21.0,35.0,たつじんのオノの本,オノ,3x2,2.0,weapon_single,武器鍛冶_たつじんのオノ,たつじんのオノ,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""どうのこうせき"", ""qty"": 1}, {""name"": ""するどい爪"", ""qty"": 1}]","[[""76-82"",""76-82""],[""50-58"",""40-52""],[""40-54"",""""],[""50-62"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_キングアックス,キングアックス,武器,,オノ,武器鍛冶,24.0,35.0,キングアックスの書,オノ,3x2,2.0,weapon_single,武器鍛冶_キングアックス,キングアックス,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""けものの皮"", ""qty"": 1}, {""name"": ""どうのこうせき"", ""qty"": 1}]","[[""50-58"",""50-58""],[""80-90"",""80-90""],[""60-70"",""""],[""40-52"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ムンアックス,ムーンアックス,武器,,オノ,武器鍛冶,18.0,35.0,ムーンアックスの謎,オノ,3x2,2.0,weapon_single,武器鍛冶_ムンアックス,ムーンアックス,1,,"[{""name"": ""ぎんのこうせき"", ""qty"": 1}, {""name"": ""どうのこうせき"", ""qty"": 1}, {""name"": ""イエローアイ"", ""qty"": 1}]","[[""52-60"",""50-60""],[""36-48"",""58-70""],[""36-48"",""""],[""70-75"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_ふぶきのオノ,ふぶきのオノ,武器,,オノ,武器鍛冶,30.0,42.0,ふぶきのオノの作り方,オノ,3x2,2.0,weapon_single,武器鍛冶_ふぶきのオノ,ふぶきのオノ,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 8}, {""name"": ""氷の樹木"", ""qty"": 3}, {""name"": ""ブルーアイ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 8}]","[[""60-68"",""92-102""],[""92-102"",""60-68""],[""60-68"",""""],[""92-102"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_エクリプスアックス,エクリプスアックス,武器,,オノ,武器鍛冶,26.0,42.0,エクリプスアックスの本,オノ,3x2,2.0,weapon_single,武器鍛冶_エクリプスアックス,エクリプスアックス,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 4}, {""name"": ""ブラックパール"", ""qty"": 1}, {""name"": ""よるのとばり"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 4}]","[[""90-98"",""90-98""],[""52-64"",""32-45""],[""40-48"",""""],[""80-88"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_シャマンアックス,シャーマンアックス,武器,,オノ,武器鍛冶,28.0,42.0,シャーマンアックスの書,オノ,3x2,2.0,weapon_single,武器鍛冶_シャマンアックス,シャーマンアックス,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 6}, {""name"": ""せいれいせき"", ""qty"": 1}, {""name"": ""パープルアイ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 6}]","[[""57-67"",""57-67""],[""97-110"",""77-86""],[""47-60"",""""],[""80-85"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_カイザアックス,カイザーアックス,武器,,オノ,武器鍛冶,30.0,50.0,カイザーアックスの本,オノ,3x2,2.0,weapon_single,武器鍛冶_カイザアックス,カイザーアックス,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 10}, {""name"": ""げんませき"", ""qty"": 1}, {""name"": ""グリーンオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""65-75"",""84-93""],[""97-110"",""63-70""],[""80-85"",""""],[""67-77"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
武器鍛冶_デストロイヤ,デストロイヤー,武器,,オノ,武器鍛冶,33.0,50.0,破壊のオノの作り方,オノ,3x2,2.0,weapon_single,武器鍛冶_デストロイヤ,デストロイヤー,1,,"[{""name"": ""プラチナこうせき"", ""qty"": 12}, {""name"": ""レッドベリー"", ""qty"": 30}, {""name"": ""イエローオーブ"", ""qty"": 1}, {""name"": ""ようせいのひだね"", ""qty"": 10}]","[[""130-135"",""80-90""],[""110-120"",""90-96""],[""80-88"",""""],[""70-84"",""""]]","[""戦士"", ""レンジャー"", ""まもの使い"", ""デスマスター"", ""海賊""]",オノ
